title,company_name,location,start_date,duration,stipend,ppo,work_mode,region,domain,skills,deadline,degree
Instagram/TikTok Reel Creation,Across The Globe (ATG),Work From Home,Immediately,6,1500,Yes,Hybrid,Urban,Data Analyst,"Data Analysis, HTML/CSS, C++, Excel",28-10-25,MBA
Corporate Sales,Across The Globe (ATG),Work From Home,Immediately,6,2000,Yes,Onsite,Urban,Data Scientist,"Java, Digital Marketing, Machine Learning, Project Management",08-11-25,PhD
Affiliate Marketing,Across The Globe (ATG),Work From Home,Immediately,6,2000,No,Remote,Urban,Software Development,"Digital Marketing, Excel, HTML/CSS, Project Management",26-11-25,BSc
Product Management,Saregama India Limited,Mumbai,Immediately,6,5000,Yes,Onsite,Rural,Data Scientist,"Python, Communication, Java, Project Management, Digital Marketing",03-12-25,MTech
Influencer Marketing,Subhansh Sewa Trust,Work From Home,Immediately,6,Unpaid,No,Hybrid,Rural,Software Development,"Machine Learning, C++, Java, Project Management, SQL",22-09-25,MCA
Media And Public Relations (PR),Subhansh Sewa Trust,Work From Home,Immediately,6,Unpaid,No,Hybrid,Urban,Data Scientist,"SQL, C++, Project Management, Machine Learning",11-09-25,MTech
Law/Legal,Thomas Cook,Mumbai,Immediately,6,3000,Yes,Hybrid,Urban,Marketing,"C++, HTML/CSS, Java, Project Management",02-11-25,MCA
Human Resources (HR),Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6,10000,Yes,Hybrid,Urban,Marketing,"Java, SQL, Python, C++",11-09-25,MBA
PHP Laravel Development,Across The Globe (ATG),Work From Home,Immediately,6,2500,No,Remote,Urban,Data Scientist,"Machine Learning, Java, Python",25-10-25,BTech
Campus Ambassador,Subhansh Sewa Trust,Work From Home,Immediately,6,Performance Based,Yes,Hybrid,Urban,Marketing,"Digital Marketing, Data Analysis, Java",16-09-25,MTech
Social Work,Subhansh Sewa Trust,Work From Home,Immediately,6,Unpaid,No,Remote,Rural,Data Analyst,"Data Analysis, Communication, Project Management, C++",06-10-25,PhD
Social (Fundraising),Subhansh Sewa Trust,Work From Home,Immediately,6,Unpaid,No,Hybrid,Urban,Marketing,"Digital Marketing, Communication, Java, HTML/CSS",22-09-25,BCA
Human Resources (HR),Paisabazaar,Gurgaon,Immediately,6,20000,Yes,Onsite,Urban,Data Scientist,"Python, Project Management, Java, Digital Marketing",29-09-25,MTech
Sales,Prolance,Bangalore,Immediately,6,5000,Yes,Remote,Rural,Data Scientist,"C++, Machine Learning, Communication, SQL",07-10-25,MCA
Sales  Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,6,12000,No,Remote,Urban,Data Analyst,"HTML/CSS, Machine Learning, Java, SQL, Communication",29-10-25,BCA
Marketing,HarperCollins Publishers India Private Limited,Gurgaon,Immediately,6,5000,Yes,Remote,Rural,Research,"SQL, Communication, Data Analysis, Python",16-11-25,MTech
Human Resources (HR),Zucol Group Of Companies,Gurgaon,Immediately,6,8000,No,Onsite,Rural,Research,"Java, Project Management, SQL, Python, Data Analysis",22-11-25,BTech
Sales,NoBroker Technologies Solutions Private Limited,Chennai,Immediately,6,12000,Yes,Remote,Urban,Data Scientist,"Machine Learning, Python, Excel, Java, C++",29-10-25,MTech
Recruitment,Ozzone Group,Work From Home,Immediately,6,4500,No,Hybrid,Urban,Data Scientist,"Excel, Python, Communication",10-11-25,BSc
Sales,Reliance Brands Limited,Chandigarh,Immediately,6,14000,Yes,Hybrid,Urban,HR,"Machine Learning, HTML/CSS, Project Management, Java, Data Analysis",08-11-25,MBA
UX Design,Techolution,Work From Home,Immediately,6,15000,Yes,Remote,Urban,Finance,"Digital Marketing, C++, Data Analysis, SQL, Excel",29-10-25,PhD
HR Consultant,Paracoat Products Limited,Gurgaon,Immediately,6,15000,No,Hybrid,Urban,HR,"Data Analysis, Excel, Machine Learning",26-10-25,PhD
Law/Legal,Techolution,Work From Home,Immediately,6,15000,Yes,Remote,Rural,Data Analyst,"Machine Learning, C++, Python, Digital Marketing, Communication",05-10-25,MCA
L&D,Godrej And Boyce Manufacturing Company Limited,Mumbai,Immediately,6,4000,Yes,Onsite,Rural,Finance,"C++, Machine Learning, Data Analysis",22-10-25,MBA
Human Resources (HR),Trent Hypermarket Private Limited - STAR Bazaar,Mumbai,Immediately,6,7000,No,Remote,Urban,Research,"Python, Project Management, Java, C++, Digital Marketing",29-11-25,BCA
Search Engine Optimization (SEO),CollegeDunia Web Private Limited,Work From Home,Immediately,6,15000,Yes,Hybrid,Urban,Marketing,"Data Analysis, Java, SQL",03-12-25,MCA
Human Resources (HR),International SOS,Mumbai,Immediately,6,15000,No,Hybrid,Urban,Research,"Digital Marketing, Python, SQL",17-11-25,BTech
Launch Management,Cultfit Healthcare Private Limited,Hyderabad,Immediately,6,25000,Yes,Hybrid,Rural,Design,"Communication, Project Management, Digital Marketing, Java, Data Analysis",08-10-25,BCA
Marketing,Shree Maruti Courier Service Private Limited,Sachin INA,Immediately,6,7000,No,Onsite,Urban,Data Analyst,"Java, Machine Learning, Excel, Digital Marketing, SQL",15-11-25,BCA
HR - Talent Acquisition,Niva Bupa Health Insurance,Noida,Immediately,6,10000,Yes,Hybrid,Rural,Software Development,"C++, Excel, Digital Marketing, Data Analysis",10-09-25,MCA
Campus Ambassador,Across The Globe (ATG),Work From Home,Immediately,6,Performance Based,No,Remote,Urban,Software Development,"Data Analysis, Project Management, Digital Marketing, Excel",16-10-25,MTech
Customer Support,NoBroker Technologies Solution Private Limited,Bangalore,Immediately,6,12000,No,Remote,Urban,Finance,"Excel, Data Analysis, Java, Machine Learning, HTML/CSS",29-11-25,BCA
Human Resources (HR),Motilal Oswal Financial Services Limited,Mumbai,Immediately,6,5000,No,Remote,Urban,Data Scientist,"Digital Marketing, SQL, Project Management, C++, Excel",18-10-25,MTech
Sales,Across The Globe (ATG),Work From Home,Immediately,3,2000,No,Onsite,Rural,Data Analyst,"Machine Learning, Python, Digital Marketing, Project Management",28-09-25,BSc
Marketing,Vedantu Innovations,Tiruchirappalli,Immediately,3,20000,No,Remote,Urban,Data Scientist,"Digital Marketing, Excel, HTML/CSS, Communication",03-10-25,MCA
Generative Adversarial Networks,Across The Globe (ATG),Work From Home,Immediately,3,8000,No,Hybrid,Rural,HR,"Java, Data Analysis, C++, Project Management, Machine Learning",16-09-25,BSc
Node.js Development,Across The Globe (ATG),Work From Home,Immediately,3,2500,Yes,Hybrid,Urban,Design,"Java, Digital Marketing, Data Analysis, Python, HTML/CSS",30-09-25,MBA
Product Management (Technical),Across The Globe (ATG),Work From Home,Immediately,3,2000,Yes,Remote,Urban,Finance,"Java, HTML/CSS, Project Management, Excel",29-09-25,MBA
Web Development (Frontend),Across The Globe (ATG),Work From Home,Immediately,3,2500,Yes,Hybrid,Rural,Research,"Python, HTML/CSS, Communication, C++",07-12-25,MTech
Sales,NoBroker Technologies Solutions Private Limited,Hyderabad,Immediately,3,15000,No,Remote,Rural,Software Development,"SQL, Excel, Digital Marketing, Machine Learning, HTML/CSS",14-10-25,MBA
Technical Content Writing,Across The Globe (ATG),Work From Home,Immediately,3,2500,Yes,Remote,Urban,Marketing,"Project Management, Digital Marketing, Communication, SQL, Java",12-11-25,MBA
MERN Stack Development,Across The Globe (ATG),Work From Home,Immediately,3,4000,Yes,Onsite,Rural,Data Scientist,"SQL, Excel, Project Management, Machine Learning, Python",01-10-25,BTech
ReactJs Development,Across The Globe (ATG),Work From Home,Immediately,3,2500,No,Remote,Rural,Finance,"C++, Excel, HTML/CSS",10-10-25,MCA
Python Django Development,Across The Globe (ATG),Work From Home,Immediately,3,2500,Yes,Onsite,Rural,Finance,"SQL, Communication, C++",13-10-25,MTech
Python Automation,Across The Globe (ATG),Work From Home,Immediately,3,2500,No,Hybrid,Rural,Marketing,"C++, Project Management, Machine Learning, Communication",19-10-25,MCA
HR & Admin,Modenik Lifestyle Private Limited,Bangalore,Immediately,3,8000,Yes,Remote,Rural,Research,"Project Management, Python, SQL",10-11-25,BCA
Resource Management,Techolution,Hyderabad,Immediately,3,15000,Yes,Remote,Urban,Data Analyst,"Digital Marketing, SQL, Project Management, HTML/CSS",27-10-25,MBA
Project Management,IIT Bombay,Work From Home,Immediately,3,1000,No,Hybrid,Urban,Software Development,"Java, HTML/CSS, SQL, C++",25-10-25,MCA
Business Development,Ozzone Group,Work From Home,Immediately,3,10000,No,Onsite,Urban,Data Analyst,"Project Management, Excel, Digital Marketing, Data Analysis",27-11-25,MTech
Business Development (Sales),NoBroker Technologies Solutions Private Limited,Ahmedabad,Immediately,3,15000,No,Hybrid,Urban,Data Scientist,"C++, Java, SQL",28-11-25,MTech
Sales Promotion,IndiaFirst Life Private Limited,Mumbai,Immediately,3,25000,Yes,Onsite,Rural,HR,"Data Analysis, HTML/CSS, Digital Marketing, C++",07-11-25,BTech
UI Design,Pepperfry,Mumbai,Immediately,3,20000,No,Onsite,Urban,Software Development,"SQL, Excel, Project Management",19-10-25,MCA
Project Management (Marketing),Across The Globe (ATG),Work From Home,Immediately,3,2500,No,Remote,Rural,Research,"Machine Learning, Digital Marketing, Project Management, Communication, Java",13-09-25,BSc
Finance & Accounting,MetrixLab,Hyderabad,Immediately,3,18000,Yes,Remote,Urban,Data Scientist,"Java, SQL, Excel",13-09-25,BCA
Customer Relationship,NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,3,12000,Yes,Onsite,Rural,Marketing,"Java, Python, HTML/CSS, Machine Learning",13-11-25,PhD
Talent Acquisition,Amara Raja Group,Hyderabad,Immediately,3,15000,No,Onsite,Rural,Data Analyst,"Excel, Communication, Digital Marketing, SQL, Machine Learning",13-10-25,MBA
Communication & Project Management,Teach For India,Hyderabad,Immediately,3,4000,Yes,Hybrid,Rural,Data Analyst,"Project Management, Machine Learning, SQL, Data Analysis",18-09-25,BCA
Logistics And Operations,Delhivery,Mumbai,Immediately,3,8000,Yes,Hybrid,Urban,Software Development,"SQL, Communication, Digital Marketing",20-10-25,MBA
Event Management,Times Internet,Noida,Immediately,3,10000,Yes,Onsite,Urban,Finance,"HTML/CSS, Communication, C++",05-10-25,MTech
Content Writing,LeadSquared,Bangalore,Immediately,3,20000,No,Hybrid,Urban,HR,"Excel, Python, HTML/CSS, SQL, Project Management",12-10-25,BSc
Environment Education Program (Mumbai),WWF-India,Mumbai,Immediately,3,10000,No,Onsite,Rural,Software Development,"Project Management, Java, C++",19-10-25,MTech
Business Development (Sales),Anarock Property Consultant Private Limited,Bangalore,Immediately,3,20000,No,Onsite,Urban,Data Scientist,"Project Management, Digital Marketing, Java, SQL, Communication",29-10-25,MBA
Human Resources (HR),Zee Media Corporation Limited,Noida,Immediately,3,2000,No,Remote,Urban,HR,"Data Analysis, Machine Learning, Digital Marketing, C++",28-09-25,MTech
Finance,CaratLane Trading Private Limited,Chennai,Immediately,3,15000,Yes,Hybrid,Urban,Software Development,"Communication, Python, Java",04-12-25,MCA
Customer Service,Ferns N Petals,Gurgaon,Not specified,3,15000,Yes,Remote,Rural,Data Scientist,"Project Management, C++, Java, Communication, Python",23-11-25,MBA
Advertising Sales(Business Development) - Kerala (Malayalam),ShareChat,Work From Home,Immediately,3,15000,No,Hybrid,Rural,Finance,"Excel, Digital Marketing, Java",25-11-25,MCA
Human Resources (HR),Agarwal Packers & Movers Limited,Delhi,Immediately,3,10000,No,Hybrid,Rural,Data Scientist,"Java, HTML/CSS, Communication",01-11-25,BTech
Legal,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Mumbai,Immediately,3,15000,No,Remote,Urban,Marketing,"Data Analysis, C++, HTML/CSS, Digital Marketing, SQL",31-10-25,BTech
Sales,NoBroker Technologies Solutions Private Limited,Vadodara,Immediately,3,12000,No,Hybrid,Urban,Research,"Java, Python, Digital Marketing, HTML/CSS, C++",18-11-25,MCA
Human Resources (HR),MAHANADI SPICES,Bilaspur,Immediately,3,20000,No,Onsite,Rural,Software Development,"Python, Project Management, Java",12-10-25,BTech
Fundraising,Marpu Foundation,Work From Home,Immediately,3,Unpaid,No,Onsite,Rural,HR,"Digital Marketing, HTML/CSS, Communication, Data Analysis",26-11-25,BSc
Recruitment,Marpu Foundation,Work From Home,Immediately,3,Unpaid,No,Onsite,Urban,Finance,"Communication, Machine Learning, C++, Project Management, Java",26-09-25,PhD
Human Resources (HR),Marpu Foundation,Work From Home,Immediately,3,Unpaid,Yes,Onsite,Rural,HR,"Communication, Python, Machine Learning, C++, Data Analysis",02-11-25,MBA
Talent Acquisition,Marpu Foundation,Work From Home,Immediately,1 Week,Unpaid,Yes,Hybrid,Urban,Design,"Machine Learning, Project Management, Excel, Data Analysis, SQL",07-11-25,MBA
"New Client Aquisition, Key Accounts Management",Pepperfry Limited,Panvel,Immediately,1 Week,8000,Yes,Hybrid,Rural,Finance,"Digital Marketing, Excel, SQL, Data Analysis",13-10-25,MTech
Talent Acquisition,Scaler Academy,Work From Home,Immediately,1 Week,5000,No,Remote,Rural,Data Scientist,"HTML/CSS, Project Management, Data Analysis",29-11-25,BCA
Omni Sport Leadership - Hiking/Trekking,Decathlon,Mumbai,Immediately,1 Week,15000,Yes,Hybrid,Rural,Data Scientist,"Java, HTML/CSS, SQL, Machine Learning, Communication",05-11-25,MBA
Business Development Management,Across The Globe (ATG),Work From Home,Immediately,1 Week,1000,Yes,Onsite,Urban,Research,"Python, Project Management, HTML/CSS, Java, Communication",06-11-25,MCA
Data Entry With Marketing,Across The Globe (ATG),Work From Home,Immediately,1 Week,1000,No,Hybrid,Rural,Data Analyst,"HTML/CSS, C++, Java",02-10-25,MBA
Social Work,Marpu Foundation,Work From Home,Immediately,1 Week,Unpaid,No,Remote,Rural,Design,"Project Management, Data Analysis, Communication, Digital Marketing",13-10-25,MTech
Human Resources (HR),Jiva Ayurveda,Faridabad,Immediately,1 Week,5000,Yes,Hybrid,Urban,Data Analyst,"Java, Machine Learning, Excel, SQL",02-11-25,MTech
Campus Ambassador,IIT Roorkee,Work From Home,Immediately,1 Week,Performance Based,No,Hybrid,Urban,Data Analyst,"Digital Marketing, Python, Excel",13-09-25,BTech
Content Writing,Xiaomi Technology India Private Limited,Bangalore,Immediately,1 Week,20000,No,Onsite,Urban,Finance,"Communication, Java, Python",29-11-25,PhD
Operations,NoBroker Technologies Solutions Private Limited,Noida,Immediately,1 Week,15000,Yes,Onsite,Rural,Marketing,"Excel, Machine Learning, HTML/CSS, Communication",23-11-25,MTech
Resource Management,Techolution,Hyderabad,Immediately,1 Week,15000,No,Remote,Rural,Marketing,"Machine Learning, Excel, Data Analysis, Digital Marketing",09-10-25,MCA
Human Resources (HR),Zucol Group Of Companies,Jaipur,Immediately,1 Week,7000,No,Remote,Rural,Finance,"C++, Digital Marketing, Communication",19-10-25,MTech
HR Operations,Freecharge Payments Technology Private Limited,Gurgaon,Immediately,1 Week,15000,Yes,Remote,Rural,Marketing,"HTML/CSS, Project Management, Excel, Digital Marketing",23-09-25,BTech
Guest Relation Operations,Apollo Hospitals,Navi Mumbai,Immediately,1 Week,5000,Yes,Hybrid,Rural,Finance,"Communication, Excel, SQL, Python, HTML/CSS",06-12-25,PhD
Business Development (Sales),Decathlon Sport India,Ahmedabad,Immediately,1 Week,10000,Yes,Remote,Urban,Finance,"Communication, HTML/CSS, SQL",07-12-25,MTech
Event Coordination,Aam Aadmi Party,Delhi,Immediately,1 Week,Unpaid,Yes,Remote,Rural,Data Scientist,"Machine Learning, HTML/CSS, Communication, Data Analysis, Project Management",01-10-25,BCA
Graphic Design,Educate Girls,Mumbai,Immediately,1 Week,12000,Yes,Hybrid,Urban,Design,"Excel, HTML/CSS, Project Management, Machine Learning, Java",24-10-25,BCA
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,Yes,Onsite,Rural,Data Scientist,"Communication, Python, C++, HTML/CSS",23-09-25,BTech
Induction Representation,Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,No,Onsite,Rural,Data Analyst,"C++, Java, Project Management, SQL, Excel",24-09-25,MTech
Business Development (Sales),Urban Company,Bhubaneswar,Immediately,1 Week,20000,No,Remote,Urban,Data Scientist,"C++, Data Analysis, Communication",30-09-25,BCA
Human Resources (HR),Community Action Through Motivation Program,Naya Raipur,Immediately,1 Week,3000,No,Hybrid,Urban,Data Analyst,"Digital Marketing, Excel, Data Analysis",25-11-25,PhD
Field Sales,LIC,Ahmedabad,Immediately,1 Week,5000,No,Onsite,Urban,Finance,"Communication, HTML/CSS, Machine Learning, Digital Marketing, Project Management",15-09-25,BTech
Business Development (Sales),Decathlon Sports India,Ahmedabad,Immediately,1 Week,5000,Yes,Hybrid,Rural,HR,"Python, Communication, Machine Learning, Project Management",25-11-25,BSc
City Management,Urban Company,Mumbai,Immediately,1 Week,20000,No,Hybrid,Urban,Data Scientist,"C++, Excel, Project Management, Data Analysis, HTML/CSS",12-09-25,MCA
Social Media Management,Life Fitness,Work From Home,Immediately,1 Week,1000,No,Hybrid,Urban,Software Development,"Data Analysis, Communication, SQL, Project Management",24-09-25,PhD
Human Resources (HR),Paradise Food Court Private Limited,Hyderabad,Immediately,1 Week,5000,No,Hybrid,Rural,Marketing,"Data Analysis, C++, SQL",18-11-25,BTech
Video Editor,Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,Yes,Remote,Rural,Design,"C++, Digital Marketing, HTML/CSS, Communication, Python",18-11-25,MCA
Human Resources (HR),APAC Financial Services Private Limited,Mumbai,Immediately,1 Week,8000,Yes,Onsite,Rural,Design,"C++, Machine Learning, Communication",23-09-25,BTech
Social Media Marketing,Sportskeeda,Work From Home,Immediately,1 Week,10000,No,Remote,Urban,Marketing,"SQL, C++, Data Analysis, Python",20-10-25,MTech
Omni Sports Leader,Decathlon,Thane,Immediately,1 Week,10000,Yes,Remote,Rural,Finance,"Data Analysis, Java, Communication, SQL, C++",01-11-25,BCA
Graphic Design,CIIE Initiatives (IIM Ahmedabad),Ahmedabad,Immediately,1 Week,10000,Yes,Remote,Rural,HR,"Python, Digital Marketing, Communication, Java",06-11-25,PhD
Business Development (Sales),Urban Company,Bangalore,Immediately,1 Week,18000,Yes,Onsite,Urban,Design,"C++, Digital Marketing, Machine Learning, Java",31-10-25,PhD
Graphic Design,Saregama India Limited,Chennai,Immediately,1 Week,5000,No,Onsite,Urban,HR,"SQL, Communication, Project Management",12-10-25,BCA
Android App Development,Star Health & Allied Insurance Company Limited,Vrindavan,Immediately,1 Week,5000,Yes,Hybrid,Urban,Finance,"C++, Project Management, Java",03-12-25,PhD
Talent Acquisition,Techolution,Work From Home,Immediately,1 Week,15000,No,Hybrid,Rural,Data Analyst,"SQL, Machine Learning, Java, Data Analysis, C++",10-09-25,MCA
Telecalling,Air India SATS Airport Services Private Limited,Delhi,Immediately,1 Week,7000,No,Onsite,Urban,Research,"Excel, SQL, Machine Learning",16-11-25,BSc
Business Development (Sales),Urban Company,Mumbai,Immediately,1 Week,20000,Yes,Hybrid,Rural,Data Scientist,"Data Analysis, Digital Marketing, SQL, C++, Python",08-11-25,BTech
Operations,PcsInfinity,Delhi,Immediately,3,10000,No,Onsite,Rural,Finance,"SQL, Excel, Data Analysis",30-09-25,BSc
Company Secretary (CS),Justdial,Mumbai,Immediately,1 Week,12000,No,Onsite,Rural,Research,"Digital Marketing, SQL, Communication",06-11-25,PhD
Human Resources (HR),Media.net,Bangalore,Immediately,1 Week,15000,Yes,Hybrid,Rural,Research,"HTML/CSS, Python, Digital Marketing",28-09-25,BSc
Content Writing,OfBusiness,Gurgaon,Immediately,4,20000,No,Hybrid,Urban,Data Scientist,"SQL, Project Management, Data Analysis",24-11-25,BCA
Talent Acquisition,Ozone Overseas Private Limited,Gurgaon,Immediately,4,15000,No,Hybrid,Urban,Marketing,"HTML/CSS, Project Management, Java, Data Analysis",17-10-25,PhD
Webinar Operations & Strategy,Simplilearn Solutions Private Limited,Bangalore,Immediately,4,15000,No,Remote,Urban,Research,"HTML/CSS, Java, Machine Learning",24-10-25,MTech
Business Development (Sales),Pioneer E Solutions,Gurgaon,Immediately,4,15000,No,Onsite,Rural,Data Analyst,"Machine Learning, Excel, Data Analysis, C++",02-11-25,MCA
Social Media Manager,Subhansh Sewa Trust,Work From Home,Immediately,4,Unpaid,No,Remote,Urban,HR,"Data Analysis, HTML/CSS, Digital Marketing",01-12-25,PhD
Journalism,Press Trust Of India,Delhi,Immediately,4,20000,Yes,Onsite,Rural,Research,"Python, Digital Marketing, Data Analysis, Communication, SQL",12-11-25,PhD
Business Operations,Pristyn Care,Gurgaon,Immediately,4,8000,Yes,Hybrid,Urban,Finance,"Project Management, Java, Python",22-09-25,PhD
Online Reputation Management,Motilal Oswal Financial Services Limited,Mumbai,Immediately,4,5000,Yes,Remote,Urban,Design,"Communication, Python, Machine Learning, Digital Marketing",22-09-25,MCA
Strategy and Research,Vedantu,Bangalore,Immediately,4,25000,Yes,Hybrid,Urban,HR,"Excel, HTML/CSS, Data Analysis",17-09-25,BTech
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,4,Unpaid,No,Remote,Rural,Research,"Machine Learning, SQL, Data Analysis, C++, Java",15-11-25,MCA
HR,AU Small Finance Bank,Mumbai,Immediately,4,2000,Yes,Remote,Rural,Finance,"Digital Marketing, Data Analysis, Python",18-10-25,BSc
Business Development,CollegeDunia Web Private Limited,Gurgaon,Immediately,4,10000,Yes,Onsite,Urban,Design,"Communication, Excel, Digital Marketing, Python",04-10-25,BTech
Web Maintenance,Tata Motors,Mumbai,Immediately,4,8000,Yes,Remote,Urban,Research,"HTML/CSS, Machine Learning, SQL",19-10-25,MTech
User Research,Leverage Edu,Noida,Immediately,4,10000,No,Remote,Urban,Finance,"SQL, Machine Learning, Communication, Java, Digital Marketing",05-11-25,BTech
Nutraceuticals-Project,Akums Drugs & Pharmaceuticals Limited,Delhi,Immediately,4,12000,Yes,Hybrid,Rural,Finance,"Python, SQL, C++, HTML/CSS",22-11-25,BCA
Finance & Accounting,Ieng Groups,Bangalore,Immediately,4,5000,Yes,Hybrid,Urban,HR,"SQL, HTML/CSS, Python, Communication, Java",02-11-25,MBA
Sales Administration,Fresenius Kabi,Pune,Immediately,4,20000,No,Onsite,Urban,Data Scientist,"C++, SQL, Java",21-09-25,MCA
Marketing And Communications,Zee Entertainment Enterprises Limited,Mumbai,Immediately,4,5000,No,Hybrid,Rural,Design,"SQL, HTML/CSS, Machine Learning, C++",22-11-25,BTech
Business Development (Sales),Urban Company,Patna,Immediately,4,20000,Yes,Hybrid,Rural,HR,"SQL, Digital Marketing, Project Management, Java",03-11-25,MBA
Human Resources (HR),SILA Group,Bangalore,Immediately,4,8000,Yes,Onsite,Urban,Design,"SQL, Data Analysis, Machine Learning",11-11-25,BSc
Program Operations,Bharti Foundation,Gurgaon,Immediately,4,17500,No,Remote,Urban,Research,"Python, Digital Marketing, Java, Communication, Data Analysis",05-10-25,PhD
Volunteering,International Human Rights Protection Commission,Andhra Pradesh,Immediately,4,Unpaid,No,Hybrid,Rural,HR,"Digital Marketing, Excel, Python, Communication",04-11-25,BTech
Social Entrepreneurship,Subhansh Sewa Trust,Work From Home,Immediately,4,Unpaid,No,Onsite,Rural,Marketing,"C++, Python, Communication, HTML/CSS",13-10-25,MBA
HR,Gupshup Technology,Mumbai,Immediately,4,10000,Yes,Hybrid,Rural,Software Development,"Project Management, Communication, Python",23-09-25,BSc
Graphic Design,Bajaj Finance Limited,Pune,Immediately,4,5000,No,Remote,Urban,Finance,"Data Analysis, HTML/CSS, Project Management",23-11-25,MTech
Graphic And Content,Hero Vired,Delhi,Immediately,4,20000,Yes,Hybrid,Rural,Software Development,"Python, SQL, Project Management, Java",07-12-25,MBA
DEI Consulting,Godrej Agrovet Limited,Mumbai,Immediately,4,10000,Yes,Hybrid,Rural,Design,"Java, Machine Learning, C++, Digital Marketing",21-11-25,MBA
Fundraising,WWF India,Delhi,Immediately,4,18000,Yes,Remote,Rural,Research,"Data Analysis, Communication, Excel, Project Management",23-10-25,MBA
Angular UI Development & UI Design,IIT Bombay,Work From Home,Immediately,4,1000,No,Onsite,Urban,Design,"Data Analysis, HTML/CSS, Machine Learning, C++",15-10-25,PhD
Teaching GPAT And Pharmacy Exams,Unacademy,Work From Home,Immediately,4,20000,No,Hybrid,Rural,Data Scientist,"C++, Communication, Java, Excel, HTML/CSS",03-12-25,BCA
Business Operations And Research,Benesse India,Delhi,Immediately,4,25000,No,Hybrid,Urban,Design,"Python, Data Analysis, Excel, Project Management",11-11-25,BCA
Business Development & Brand Solution,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,4,5000,No,Remote,Urban,Software Development,"SQL, HTML/CSS, Communication, Java, Digital Marketing",22-10-25,MBA
Supply Chain & Logistics Operations,Inland World Logistics Private Limited,Coimbatore,Immediately,4,10000,No,Remote,Urban,Design,"Digital Marketing, Project Management, Python, Excel",28-11-25,BTech
